Date,Dernier ((EUR/MWh),Ouv., Plus Haut,Plus Bas
13/01/2020,"12,055","12,15","12,15","12,075"
14/01/2020,"11,305","12,025","12,025","11,69"
15/01/2020,"11,18","11,275","11,3","11,2"
16/01/2020,"11,115","11,425","11,425","11,015"
17/01/2020,"10,93","11,05","11,05","10,94"
21/01/2020,"10,775","10,665","10,945","10,6"
22/01/2020,"10,455","10,66","10,66","10,37"
23/01/2020,"10,43","10,375","10,45","10,23"
24/01/2020,"10,455","10,63","10,63","10,485"
27/01/2020,"10,525","10,505","10,585","10,475"
28/01/2020,"10,79","10,8","10,8","10,75"
29/01/2020,"10,15","10,675","10,675","10,335"
30/01/2020,"9,78",10,10,10
31/01/2020,"9,755","9,975","10,01","9,93"
03/02/2020,"9,21","9,6","9,6","9,19"
04/02/2020,"9,365","9,285","9,385","9,1"
05/02/2020,"9,315","9,435","9,435","9,28"
06/02/2020,"9,15","8,925","9,195","8,925"
07/02/2020,"9,07","9,22","9,22","8,985"
10/02/2020,"8,645","8,775","8,775","8,575"
11/02/2020,"8,555","8,5","8,65","8,5"
12/02/2020,"8,72","8,575","8,765","8,575"
13/02/2020,"8,89","8,575","8,8","8,575"
14/02/2020,"8,88","8,925","8,925","8,925"
18/02/2020,"9,38","9,2","9,49","9,2"
19/02/2020,"9,57","9,225","9,545","9,225"
20/02/2020,"9,565","9,575","9,575","9,375"
21/02/2020,"9,41","9,3","9,51","9,3"
24/02/2020,"9,045","9,21","9,21","9,125"
25/02/2020,"9,005",9,9,"8,925"
26/02/2020,"9,07","8,875","9,075","8,8"
27/02/2020,"8,87","8,87","8,87","8,87"
28/02/2020,"8,875","8,65","8,95","8,65"
02/03/2020,"8,885",9,"9,05","8,795"
03/03/2020,"9,17","9,02","9,21","9,02"
04/03/2020,"8,91","8,975","9,055","8,825"
05/03/2020,"8,85","8,9","8,9","8,825"
06/03/2020,"8,645","8,775","8,775","8,56"
09/03/2020,"8,625","8,275","8,625","8,275"
10/03/2020,"8,995","8,875","9,05","8,84"
11/03/2020,"9,37","8,975","9,38","8,975"
12/03/2020,"9,325","9,1","9,39","9,1"
13/03/2020,"9,285","9,36","9,635","9,255"
16/03/2020,"8,74","8,7","8,77","8,645"
17/03/2020,"8,47","8,775","8,775","8,425"
18/03/2020,"8,265","8,3","8,32","8,165"
19/03/2020,"8,545","8,425","8,55","8,365"
20/03/2020,"8,295","8,295","8,295","8,295"
23/03/2020,"7,85","8,02","8,02","7,935"
24/03/2020,"7,91","8,05","8,1","7,86"
25/03/2020,"7,745","7,765","7,765","7,765"
26/03/2020,"7,575","7,58","7,605","7,58"
27/03/2020,"7,22","7,25","7,335","7,17"
30/03/2020,"6,895","6,895","6,895","6,895"
31/03/2020,"6,9","7,1","7,175","7,1"
01/04/2020,"6,825","6,725","6,85","6,725"
02/04/2020,"6,935","7,275","7,275","6,86"
03/04/2020,"6,92","6,825","7,025","6,775"
06/04/2020,"7,285","6,8","7,4","6,8"
07/04/2020,"7,285","7,4","7,5","7,3"
08/04/2020,"7,26","7,3","7,4","7,26"
09/04/2020,"7,28","7,475","7,525","7,235"
13/04/2020,"7,28","7,28","7,28","7,28"
14/04/2020,"6,875","7,175","7,175","6,865"
15/04/2020,"6,65","6,825","6,85","6,745"
16/04/2020,"6,905","6,98","6,98","6,925"
17/04/2020,"6,995","7,18","7,18","6,96"
20/04/2020,"6,62","6,735","6,735","6,735"
21/04/2020,"6,315","6,6","6,6","6,305"
22/04/2020,"6,225","6,125","6,49","6,125"
23/04/2020,"6,055","6,15","6,15","6,04"
24/04/2020,"5,77","5,83","5,85","5,8"
27/04/2020,"5,94","5,825",6,"5,825"
28/04/2020,"6,145","5,975","6,2","5,975"
29/04/2020,"6,015","6,015","6,015","6,015"
30/04/2020,"6,22","6,325","6,33","6,2"
01/05/2020,"5,845","6,2","6,2","5,735"
04/05/2020,"5,74","5,9","5,9","5,705"
05/05/2020,"5,675","5,85","5,9","5,635"
06/05/2020,"5,765","5,74","5,8","5,73"
07/05/2020,"5,845","5,84","5,97","5,8"
08/05/2020,"5,83","5,83","5,83","5,83"
11/05/2020,"5,705","5,7","5,8","5,66"
12/05/2020,"5,315","5,575","5,625","5,28"
13/05/2020,"5,12","5,375","5,375","5,1"
14/05/2020,"5,265","5,175","5,285","5,175"
15/05/2020,"5,22","5,4","5,425","5,175"
18/05/2020,"4,92","5,28","5,385","4,875"
19/05/2020,"4,61","4,775","4,825","4,61"
20/05/2020,"4,46","4,75","4,76","4,42"
21/05/2020,"3,825","3,965",4,"3,79"
22/05/2020,"3,89","3,75","4,06","3,65"
26/05/2020,"4,125","4,35","4,91","4,25"
27/05/2020,"3,695","3,8","3,98","3,625"
28/05/2020,"3,51","3,7","3,85","3,5"
29/05/2020,"4,385","4,425","4,5","4,4"
01/06/2020,"4,055","4,1","4,25","3,95"
02/06/2020,"4,85","4,37","4,95","4,35"
03/06/2020,"5,33","5,15","5,54","4,94"
04/06/2020,"5,39","4,975","5,4","4,975"
05/06/2020,"5,71","5,35","5,85","5,125"
08/06/2020,"5,25","5,6","5,775","5,255"
09/06/2020,"4,805","5,275","5,275","4,775"
10/06/2020,"4,8","4,7","4,85","4,625"
11/06/2020,"4,99","4,775","5,03","4,775"
12/06/2020,"5,275","5,15","5,44","5,15"
15/06/2020,"5,515","5,45","5,575","5,4"
16/06/2020,"5,26","5,55","5,55","5,175"
17/06/2020,"5,21","5,2","5,275","4,995"
18/06/2020,"5,45","5,425","5,525","5,325"
19/06/2020,"5,615","5,55","5,675","5,55"
22/06/2020,"5,495","5,45","5,525","5,39"
23/06/2020,"5,83","5,7","5,85","5,7"
24/06/2020,"5,665","5,825","5,845","5,68"
25/06/2020,"5,255","5,425","5,435","5,285"
26/06/2020,"5,105","5,065","5,23","5,045"
29/06/2020,"5,84","5,4","5,87","5,4"
30/06/2020,"6,165","6,105","6,455","6,025"
01/07/2020,"5,865","5,95","6,185","5,8"
02/07/2020,"5,945","5,765","5,95","5,71"
06/07/2020,"6,095","6,145","6,15","6,075"
07/07/2020,"6,125","6,13","6,315","6,13"
08/07/2020,"5,935","6,09","6,19","5,86"
09/07/2020,"5,755","5,855","5,875","5,76"
10/07/2020,"5,475","5,57","5,585","5,425"
13/07/2020,"5,11","5,52","5,55","5,09"
14/07/2020,"5,085","5,16","5,18","4,99"
15/07/2020,"5,225","5,35","5,395","5,225"
16/07/2020,"5,06","5,09","5,11",5
17/07/2020,"5,115","5,16","5,165","5,065"
20/07/2020,"4,73","4,95","4,98","4,71"
21/07/2020,"4,79","4,9","4,975","4,765"
22/07/2020,"4,83","4,82","4,915","4,725"
23/07/2020,"4,985","4,925","5,125","4,925"
24/07/2020,"5,01","5,025","5,04","4,895"
27/07/2020,"4,785","4,95","5,01","4,875"
28/07/2020,"4,96","4,775","4,975","4,775"
29/07/2020,"5,175","5,15","5,22","5,055"
30/07/2020,"5,225","5,19","5,43","5,13"
31/07/2020,"6,025",6,6,6
03/08/2020,"6,8","6,33",7,"6,33"
04/08/2020,"7,355","7,185","7,425","7,13"
05/08/2020,"7,32","7,37","7,405","7,28"
06/08/2020,"7,94","7,75","7,95","7,75"
07/08/2020,"7,93","7,55","8,3","7,55"
10/08/2020,"7,59","8,28","8,28","7,95"
11/08/2020,"7,415","7,495","7,935","7,415"
12/08/2020,"7,17","7,175","7,175",7
13/08/2020,"7,31","7,4","7,48","7,285"
14/08/2020,"8,02","7,45","8,15","7,38"
17/08/2020,"8,18","8,26","8,51","8,15"
18/08/2020,"8,55","8,225","8,72","8,225"
19/08/2020,"8,355","8,815","8,85","8,23"
20/08/2020,"8,15","8,325","8,375","8,225"
21/08/2020,"7,62","7,975","7,975","7,47"
24/08/2020,"8,36","8,125","8,365","8,05"
25/08/2020,"8,865","8,36","8,89","8,36"
26/08/2020,"9,15","9,34","9,34","9,285"
27/08/2020,"8,87","9,25","9,275","8,9"
28/08/2020,"11,17","11,125","11,175","11,125"
31/08/2020,"11,24","11,24","11,24","11,24"
01/09/2020,"11,295","11,2","11,835","11,2"
02/09/2020,"11,11","11,4","11,4","10,995"
03/09/2020,"11,735","11,515","11,8","11,5"
04/09/2020,"11,68","12,105","12,105","11,85"
08/09/2020,"10,8","11,4","11,4","10,79"
09/09/2020,"10,735","10,6","10,95","10,6"
10/09/2020,"10,515","10,85","10,87","10,465"
11/09/2020,"10,495","10,4","10,435","10,37"
14/09/2020,"10,705","10,725","10,8","10,65"
15/09/2020,"10,895","10,85","10,87","10,815"
16/09/2020,"11,32","11,2","11,445","11,2"
17/09/2020,"11,12","11,515","11,515","11,13"
18/09/2020,"11,475","11,105","11,38","11,105"
21/09/2020,"11,495","11,5","11,51","11,425"
22/09/2020,"11,705","11,33","11,795","11,26"
23/09/2020,"12,02","11,77","12,04","11,77"
24/09/2020,"11,635","11,95","11,95","11,66"
25/09/2020,"11,665","11,5","11,695","11,4"
28/09/2020,"12,35","12,06","12,06","11,95"
29/09/2020,"12,28","12,4","12,64","12,265"
30/09/2020,"13,285","13,31","13,31","13,16"
01/10/2020,"13,18","13,35","13,405","13,11"
02/10/2020,"13,025","12,875","13,13","12,815"
05/10/2020,"13,42","13,385","13,44","13,25"
06/10/2020,"13,305","13,225","13,365","13,225"
07/10/2020,"13,71","13,425","13,69","13,425"
08/10/2020,"13,9","13,75","14,05","13,75"
09/10/2020,"13,755","13,73","13,87","13,705"
12/10/2020,"13,84","13,61","13,61","13,61"
13/10/2020,"13,595","13,69","13,7","13,49"
14/10/2020,"13,87","13,74","13,945","13,74"
15/10/2020,"14,24","14,175","14,175","13,9"
16/10/2020,"14,5","14,525","14,65","14,425"
19/10/2020,"14,72","14,65","14,75","14,65"
20/10/2020,"14,895","14,56","14,98","14,56"
21/10/2020,"14,865","14,81","14,95","14,81"
22/10/2020,"15,255","14,825","15,34","14,8"
23/10/2020,"15,41","15,245","15,65","15,245"
26/10/2020,"14,865","15,15","15,39","15,15"
27/10/2020,"14,745","14,7","14,85","14,375"
28/10/2020,"14,485","14,525","14,65","14,4"
29/10/2020,"14,215","14,4","14,4","14,125"
30/10/2020,"14,06","14,335","14,385","13,925"
02/11/2020,"13,655","13,515","13,705","13,515"
03/11/2020,"13,665","13,73","13,925","13,585"
04/11/2020,"13,885","13,725","14,105","13,575"
05/11/2020,"14,455","14,3","14,5","14,3"
06/11/2020,"13,9","14,115","14,15","13,885"
09/11/2020,"13,855","13,775","14,13","13,55"
10/11/2020,"14,035","13,8","14,15","13,7"
11/11/2020,"14,095","14,05","14,35","14,05"
12/11/2020,14,"14,05","14,15","13,95"
13/11/2020,"14,24","14,2","14,325","14,175"
16/11/2020,"14,495","14,425","14,6","14,42"
17/11/2020,"13,97","14,35","14,35","13,85"
18/11/2020,"13,68","13,85","13,95","13,59"
19/11/2020,"13,02","13,475","13,475",13
20/11/2020,"12,895","12,7","12,91","12,6"
23/11/2020,"13,535","13,3","13,625","13,3"
24/11/2020,"13,9","13,45","13,9","13,45"
25/11/2020,"13,93","14,15","14,275","13,8"
27/11/2020,"14,485","13,835","14,6","13,8"
30/11/2020,"15,14","14,985","15,2","14,95"
01/12/2020,"14,91","15,475","15,475","14,775"
02/12/2020,"14,905","14,45","14,95","14,45"
03/12/2020,"14,145","14,6","14,6",14
04/12/2020,"14,645","14,55","14,66","14,465"
07/12/2020,"14,355","14,1","14,4","14,1"
08/12/2020,"14,445","14,3","14,63","14,3"
09/12/2020,"14,735","14,35","14,735","14,35"
10/12/2020,"15,54","15,3","15,55","15,275"
11/12/2020,"15,96","15,525","15,825","15,3"
14/12/2020,"16,605","16,45","16,925","16,45"
15/12/2020,"17,225","17,1","17,265","16,66"
16/12/2020,"16,38","17,05","17,05","16,26"
17/12/2020,"15,94","16,175","16,325","15,9"
18/12/2020,"15,885","15,75","15,975","15,69"
21/12/2020,"16,795","16,4","16,85","16,25"
22/12/2020,"17,635","17,2","17,75","17,175"
23/12/2020,"17,505","17,65","17,65","17,5"
24/12/2020,"17,65","17,65","17,65","17,65"
28/12/2020,"19,15","19,15","19,15","19,15"
29/12/2020,"18,775",19,19,19
30/12/2020,19,"19,15","19,275","19,025"
31/12/2020,"19,125","19,125","19,125","19,125"
04/01/2021,"19,845","19,45","20,3","19,45"
05/01/2021,"18,005","18,905","18,95","17,925"
06/01/2021,"17,565","17,875","18,52","17,375"
07/01/2021,"19,305","18,275","19,42","18,275"
08/01/2021,"20,12","20,4","20,7","19,89"
11/01/2021,"22,125","21,35","22,54","21,2"
12/01/2021,"26,155","23,24","26,085","23,2"
13/01/2021,"21,5","23,475","23,9","21,6"
14/01/2021,"21,335","21,25","21,25","20,32"
15/01/2021,"20,2","20,1","20,4","19,625"
19/01/2021,"20,325","19,1","20,4","18,9"
20/01/2021,"20,26","21,4","21,6","19,935"
21/01/2021,"20,065","19,825","20,5","19,55"
22/01/2021,"21,485","20,75","21,5","20,75"
25/01/2021,"20,16","22,15","22,15","20,05"
26/01/2021,"19,51","19,8","20,075","19,175"
27/01/2021,"19,7",19,"19,9","18,9"
28/01/2021,"20,91","20,6","20,875","20,35"
29/01/2021,"19,82","20,6","20,6","19,595"
01/02/2021,"18,14","19,05","19,05","17,875"
02/02/2021,"18,25","18,2","18,5","18,105"
03/02/2021,"17,855","17,65","17,75","17,35"
04/02/2021,"18,12","17,85","18,35","17,75"
05/02/2021,"18,38","18,55","18,9","18,3"
08/02/2021,"20,18","20,375","20,375","19,6"
09/02/2021,"19,045","18,855","19,305","18,75"
10/02/2021,"18,56","18,85","19,025","18,45"
11/02/2021,"17,375","18,15","18,15","17,375"
12/02/2021,"17,62","17,07","17,65","16,95"
16/02/2021,"16,715","16,75","16,95","16,35"
17/02/2021,"16,54","17,15","17,3","16,4"
18/02/2021,"17,33","16,9","17,35","16,84"
19/02/2021,"16,555","17,325","17,45","16,465"
22/02/2021,"15,96","16,25","16,25","15,825"
23/02/2021,"16,25","16,1","16,4","16,05"
24/02/2021,"16,38","16,125","16,35","16,05"
25/02/2021,"15,935","16,4","16,4","16,065"
26/02/2021,"15,695","15,95","15,975","15,55"
01/03/2021,"16,08",16,"16,1","15,925"
02/03/2021,"15,87","16,005","16,03","15,8"
03/03/2021,"15,525","15,6","15,68","15,5"
04/03/2021,"15,93","15,59","15,975","15,575"
05/03/2021,"16,365","15,85","16,45","15,775"
08/03/2021,"16,15","16,55","16,55","16,125"
09/03/2021,"16,925","16,375","16,975","16,375"
10/03/2021,"17,63","17,15","17,7","17,15"
11/03/2021,"18,125","17,475","18,155","17,475"
12/03/2021,"18,45","17,97","18,565","17,93"
15/03/2021,"17,93","18,17","18,88","17,87"
16/03/2021,"17,66","17,83","17,83","17,275"
17/03/2021,"17,97","17,45","18,11","17,45"
18/03/2021,"17,76","18,16","18,4","17,5"
19/03/2021,"17,265","17,35","17,5","17,235"
22/03/2021,"18,045","17,27","18,075","17,27"
23/03/2021,"18,39","17,85","18,4","17,625"
24/03/2021,"18,59","18,65","18,825","18,025"
25/03/2021,"18,365","18,6","18,6","18,275"
26/03/2021,"18,7","18,6","18,82","18,575"
29/03/2021,"18,445","18,26","18,595","18,125"
30/03/2021,"18,805","18,2","18,85","18,2"
31/03/2021,"18,995","19,05","19,17","18,7"
01/04/2021,"19,17",19,"19,275",19
05/04/2021,"19,17","19,17","19,17","19,17"
06/04/2021,"19,78","19,745","19,825","19,6"
07/04/2021,"19,285","19,65","19,725","19,175"
08/04/2021,"18,99","19,325","19,45","18,975"
09/04/2021,"18,94","19,35","19,365","18,9"
12/04/2021,"19,65","19,395","19,725","19,26"
13/04/2021,"19,51","19,72","19,85","19,47"
14/04/2021,"19,68","19,6","19,775","19,6"
15/04/2021,"20,26","19,9","20,385","19,85"
16/04/2021,"20,54","20,625","20,8","20,5"
19/04/2021,"20,94","20,875","21,12","20,85"
20/04/2021,"21,065","20,85","21,335","20,675"
21/04/2021,"21,11","21,015","21,25","20,85"
22/04/2021,"21,37","21,3","21,54","21,3"
23/04/2021,"20,045","20,8","20,8","19,71"
26/04/2021,20,"20,2","20,46","19,975"
27/04/2021,"21,405","19,93","21,5","19,75"
28/04/2021,"21,555","21,79","22,02","21,55"
29/04/2021,"22,5","21,665","22,575","21,575"
30/04/2021,"23,285","22,965","23,32","22,73"
03/05/2021,"23,815","23,815","23,815","23,815"
04/05/2021,"23,05","24,105","24,105","22,995"
05/05/2021,"23,96","23,4","23,965","23,325"
06/05/2021,"24,33","24,13","24,95","24,13"
07/05/2021,"23,94","24,225","24,225","23,875"
10/05/2021,"25,19","25,175","25,2","24,825"
11/05/2021,"25,805","24,8","25,995","24,75"
12/05/2021,"26,42","26,44","26,45","25,8"
13/05/2021,"26,25","25,75","26,3","24,975"
14/05/2021,"26,83","26,35","26,875","26,35"
17/05/2021,"26,31","26,1","26,63","25,7"
18/05/2021,"24,81","25,4","25,775","24,645"
19/05/2021,"22,665","24,05","24,125","22,57"
20/05/2021,"24,685","23,1","24,565","23,05"
21/05/2021,"24,795","25,3","25,55","24,6"
24/05/2021,"24,76","24,475","24,85","24,455"
25/05/2021,"26,19","25,25","26,15","25,25"
26/05/2021,"26,425","26,775","26,915","26,4"
27/05/2021,"25,2","25,645","26,1","25,275"
28/05/2021,"24,93","25,1","25,2","24,62"
01/06/2021,"25,975","25,18","26,23","25,18"
02/06/2021,"25,725","25,7","26,1","25,28"
03/06/2021,"25,705","26,25","26,25","25,675"
04/06/2021,"25,795","25,75","26,025","25,45"
07/06/2021,"26,49","25,9","26,665","25,9"
08/06/2021,"27,8","27,475","27,85","27,35"
09/06/2021,"28,3","27,9","28,425","27,805"
10/06/2021,"28,685","28,275","28,725","27,705"
11/06/2021,"27,845","28,5","28,595","27,7"
14/06/2021,"28,81","29,1","29,315","28,575"
15/06/2021,"28,135","28,3","28,705","27,91"
16/06/2021,"28,03",28,"28,775","27,74"
17/06/2021,"28,31","27,8","28,67","27,7"
18/06/2021,"29,405","28,935","29,61","28,8"
21/06/2021,"29,615","29,97","30,2","29,305"
22/06/2021,"30,735","30,05","30,835","29,99"
23/06/2021,"31,545","31,35","31,685","30,565"
24/06/2021,"32,015","31,55","32,025","31,41"
25/06/2021,"32,385","31,95","32,4","31,95"
28/06/2021,"32,29","32,1","32,38","31,75"
29/06/2021,"33,486","32,855","33,825","32,855"
30/06/2021,"34,62","33,875","34,925","33,74"
01/07/2021,"36,145","35,5","36,955","35,45"
02/07/2021,"35,827","34,925","36,87","34,925"
06/07/2021,"34,105","37,25","38,365","33,08"
07/07/2021,"32,34","34,315","36,23","32,345"
08/07/2021,"33,31","32,29","33,875","31,47"
09/07/2021,"36,632","35,84","36,85","35,565"
12/07/2021,"34,65","35,235","36,15","34,395"
13/07/2021,"35,465","34,305","35,835","34,145"
14/07/2021,"34,775","34,835","35,175","33,405"
15/07/2021,"33,795","34,2","34,605","33,61"
16/07/2021,"34,84","35,1","35,525","34,6"
19/07/2021,"35,65","36,45","36,81","35,615"
20/07/2021,"35,165","35,095","35,315","34,625"
21/07/2021,"35,95","35,5","36,2","35,46"
22/07/2021,"36,13","35,675","36,435","35,65"
23/07/2021,"35,525","35,815","35,94","35,1"
26/07/2021,"36,915","36,14","37,025","35,91"
27/07/2021,"37,59","37,695","37,705","37,26"
28/07/2021,"39,7","38,465","39,715","38,415"
29/07/2021,"41,154","40,35","40,88","40,05"
30/07/2021,"40,755","40,51","40,855","39,42"
02/08/2021,"42,155","42,1","42,69","41,815"
03/08/2021,"41,245","41,59","42,18","41,12"
04/08/2021,"42,255","41,54","42,26","41,54"
05/08/2021,"42,9","41,57","43,2","41,195"
06/08/2021,"43,12","43,9","44,57","42,675"
09/08/2021,"42,785","43,095","43,57","42,45"
10/08/2021,"44,655","44,39","45,025","44,215"
11/08/2021,"45,985","44,975","46,525","44,575"
12/08/2021,"45,87","46,15","46,525","45,325"
13/08/2021,"44,63","44,415","45,4","44,375"
16/08/2021,"47,99","46,25","48,215","46,25"
17/08/2021,"46,95","46,855","47,975","46,675"
18/08/2021,"45,385","46,395","47,525","42,795"
19/08/2021,"40,395","44,375","44,48","40,1"
20/08/2021,"41,944","41,57","42,625","40,9"
23/08/2021,"41,68","42,275","43,535","40,61"
24/08/2021,"44,87","43,625","45,07","43,625"
25/08/2021,"45,285","45,83","46,13","44,775"
26/08/2021,"45,79","44,215","45,845","44,2"
27/08/2021,"47,806","47,806","47,806","47,806"
30/08/2021,"49,68","48,85","49,43","48,7"
31/08/2021,"50,34","48,58","50,47","48,58"
01/09/2021,"50,23","52,25","52,9","49,6"
02/09/2021,"51,915","50,985","52,595","49,715"
03/09/2021,"51,505","51,8","52,55","51,29"
07/09/2021,"53,91","53,075","54,185","51,285"
08/09/2021,"55,29","54,175","55,575","53,56"
09/09/2021,"56,58","55,6","57,23","54,73"
10/09/2021,"57,916",56,"57,995","55,775"
13/09/2021,"61,28","59,35","62,25","59,35"
14/09/2021,"65,765","64,55","66,395","64,55"
15/09/2021,"70,705","71,925","77,275","69,725"
16/09/2021,"63,25","68,535","68,535","60,76"
17/09/2021,"65,103","66,75","66,775","62,85"
20/09/2021,"75,315","65,725","75,38","69,805"
21/09/2021,"73,78","72,525","75,105","71,25"
22/09/2021,"71,69","70,1","72,655","69,925"
23/09/2021,"69,685",68,"70,71",68
24/09/2021,"70,24","68,3","70,89","68,255"
27/09/2021,"76,505",75,"76,97",75
28/09/2021,"78,565",83,"84,15","78,95"
29/09/2021,"86,609","86,5","86,5","86,5"
30/09/2021,"97,775","94,92","96,3","93,18"
01/10/2021,"93,625","94,665","97,59","93,105"
04/10/2021,"96,65","96,4","99,76","94,235"
05/10/2021,"116,02",95,"105,61","83,62"
06/10/2021,"108,19","131,025","132,93","101,555"
07/10/2021,"96,585","89,26","109,47","89,26"
08/10/2021,"87,605",95,"95,675","83,7"
11/10/2021,"85,215",92,"92,135","83,5"
12/10/2021,"85,7","86,31","87,395",85
13/10/2021,"93,615","91,375","94,61","90,29"
14/10/2021,"102,17","102,15","102,255","96,73"
15/10/2021,"93,65",104,104,"92,57"
18/10/2021,"93,935","89,35","100,4","89,35"
19/10/2021,"89,93","92,15","93,935","89,425"
20/10/2021,"93,45","94,395","94,395","92,75"
21/10/2021,"88,465","90,645","90,66","87,815"
22/10/2021,"87,34","88,61","88,7",87
25/10/2021,"88,645",91,91,88
26/10/2021,"88,495","90,15","90,2","87,8"
27/10/2021,"86,82","86,3","86,95",86
28/10/2021,"77,032",78,"80,6",78
29/10/2021,"64,865","72,62","72,62",70
01/11/2021,"65,62","63,59","65,75","63,59"
02/11/2021,"67,605","65,175","70,665","62,84"
03/11/2021,"76,54","73,52","80,045","73,52"
04/11/2021,"73,375","77,525","77,525","72,815"
05/11/2021,"74,025","73,16","74,64","73,03"
08/11/2021,"79,075","80,77","80,77","77,005"
09/11/2021,"72,585","76,5","76,9","74,005"
10/11/2021,"70,125","66,71","70,37","64,505"
11/11/2021,"74,79",72,"75,1",72
12/11/2021,"75,675","77,77","77,77","74,06"
15/11/2021,"79,945","78,295","82,095","78,285"
16/11/2021,"94,19","84,38","91,49","84,38"
17/11/2021,"95,005","97,99","99,85","95,085"
18/11/2021,"95,165","93,6","95,3","91,365"
19/11/2021,"87,125","91,125","91,125",86
22/11/2021,"84,015","84,25","86,02","81,95"
23/11/2021,"90,925","86,95","91,4","86,95"
24/11/2021,"93,985","93,85","93,85","93,85"
26/11/2021,"87,772","92,45","94,4","87,75"
29/11/2021,"93,146","94,25","94,25","92,45"
30/11/2021,"92,515",98,98,"95,015"
01/12/2021,"95,675","92,6","95,1","92,6"
02/12/2021,"94,83","91,6","92,46","89,2"
03/12/2021,"89,48","91,59","92,05","89,62"
06/12/2021,"89,93","86,6","90,275","86,6"
07/12/2021,"95,885",95,"95,88","94,595"
08/12/2021,"101,5","98,6","103,835","98,6"
09/12/2021,"100,445","98,5","104,35","97,17"
10/12/2021,"105,775","101,605","107,75","100,83"
13/12/2021,"116,085","115,4","118,625","112,44"
14/12/2021,"128,3","118,95","129,065","116,775"
15/12/2021,"132,285","131,1","132,405","120,6"
16/12/2021,"142,765","128,71",143,"126,19"
17/12/2021,"136,915","124,5","139,5","124,5"
20/12/2021,"146,925","140,82","148,505","139,4"
21/12/2021,"180,265","157,7","174,8","157,7"
22/12/2021,"172,875","174,3","176,655","172,72"
23/12/2021,"132,58","158,3","158,3","129,36"
27/12/2021,"106,895",100,"105,5",100
28/12/2021,"106,59","106,59","106,59","106,59"
29/12/2021,"96,475",99,"104,6",99
30/12/2021,"87,027","94,35","94,35","88,05"
31/12/2021,"70,345",82,82,"67,365"
03/01/2022,"80,435","80,435","80,435","80,435"
04/01/2022,"88,74",85,"96,625",85
05/01/2022,"91,52","95,7","95,7","88,385"
06/01/2022,"96,5","95,265","97,02","93,3"
07/01/2022,"88,175","95,8","96,27","86,58"
10/01/2022,"84,605","86,5","90,4","84,46"
11/01/2022,"78,735","81,225","82,05",80
12/01/2022,"75,155","82,25","82,25","73,4"
13/01/2022,"85,46",72,"85,98",72
14/01/2022,"86,97",89,"91,8","85,7"
18/01/2022,"78,335","83,275","84,6","74,89"
19/01/2022,"75,6","73,95","76,5","71,42"
20/01/2022,"75,205",71,"75,59",71
21/01/2022,"78,98","74,765","81,815","74,765"
24/01/2022,93,"88,605","93,6","88,605"
25/01/2022,"93,58","92,385","95,51","92,385"
26/01/2022,"91,835","89,395","92,445","89,395"
27/01/2022,"92,3","92,25","92,9","90,31"
28/01/2022,"92,062","92,062","92,062","92,062"
31/01/2022,"84,67","84,85","84,85","84,85"
01/02/2022,"76,165","78,3","78,38","74,8"
02/02/2022,"77,35","77,15","79,1","76,29"
03/02/2022,"80,225","79,6","80,1","77,01"
04/02/2022,"82,65","81,47","82,45","81,47"
07/02/2022,"79,595","78,8","79,74","77,85"
08/02/2022,"77,3","81,48",82,"75,48"
09/02/2022,"74,415","76,695","76,695","73,835"
10/02/2022,"74,355","74,03","74,68","72,47"
11/02/2022,"77,425","73,415","76,4","73,305"
14/02/2022,"80,77","83,6","83,6","79,695"
15/02/2022,"70,92","76,06","76,17","68,515"
16/02/2022,"69,795","69,095",71,"68,97"
17/02/2022,"74,915","73,35","75,15","71,34"
18/02/2022,"73,76","72,975","73,9","70,57"
22/02/2022,"79,79","71,525","80,345","71,525"
23/02/2022,"88,89","83,175",88,"83,175"
24/02/2022,"134,315","106,1",135,"106,1"
25/02/2022,"94,422","94,422","94,422","94,422"
28/02/2022,"98,595","116,49","116,49","104,47"
01/03/2022,"121,675","103,665","119,27","103,665"
02/03/2022,"165,545","165,545","165,545","165,545"
03/03/2022,"160,825",148,148,"147,49"
04/03/2022,"192,55","192,55","192,55","192,55"
07/03/2022,"227,2","227,2","227,2","227,2"
08/03/2022,"214,555","214,555","214,555","214,555"
09/03/2022,"155,88","155,88","155,88","155,88"
10/03/2022,"126,4","126,4","126,4","126,4"
11/03/2022,"131,23","131,23","131,23","131,23"
14/03/2022,"114,52","114,52","114,52","114,52"
15/03/2022,"115,44","121,69","121,69","121,69"
16/03/2022,"102,625","102,625","102,625","102,625"
17/03/2022,"105,09","110,5","110,5","105,25"
18/03/2022,"105,045","105,045","105,045","105,045"
21/03/2022,"96,302","98,72","98,72","98,72"
22/03/2022,"98,745","98,745","98,745","98,745"
23/03/2022,117,117,117,117
24/03/2022,"111,61",116,116,116
25/03/2022,"101,27","101,27","101,27","101,27"
28/03/2022,"102,545","97,6","97,6","97,6"
29/03/2022,"108,38","108,38","108,38","108,38"
30/03/2022,"118,97","118,97","118,97","118,97"
31/03/2022,"125,905","125,905","125,905","125,905"
01/04/2022,"112,15","114,75","114,75","114,75"
04/04/2022,"109,525","109,525","109,525","109,525"
05/04/2022,"108,565","108,14","108,14","108,14"
06/04/2022,"106,79","106,79","106,79","106,79"
